Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",84.725000,22.075000,180.000000,bottom
"C60","100n","C_0402_1005Metric",76.050000,26.325000,135.000000,bottom
"C72","12p","C_0402_1005Metric",82.717355,57.783381,135.000000,bottom
"C73","12p","C_0402_1005Metric",81.517355,56.583382,135.000000,bottom
"C74","12p","C_0402_1005Metric",72.465000,66.700000,0.000000,bottom
"C75","12p","C_0402_1005Metric",75.245000,68.605000,270.000000,bottom
"C76","4.7u","C_0805_2012Metric",75.766751,54.703249,135.000000,bottom
"C77","100n","C_0402_1005Metric",76.484411,67.464411,225.000000,bottom
"C78","100n","C_0402_1005Metric",82.567355,62.512203,225.000000,bottom
"C79","1u","C_0402_1005Metric",80.017354,65.112203,45.000000,bottom
"C80","220p","C_0402_1005Metric",68.600000,68.939411,135.000000,bottom
"C81","NC","C_0402_1005Metric",67.160589,67.539411,135.000000,bottom
"C82","100n","C_0402_1005Metric",82.325000,60.475000,315.000000,bottom
"C83","1u","C_0402_1005Metric",81.225000,54.600000,180.000000,bottom
"C84","100n","C_0402_1005Metric",85.115000,54.625000,0.000000,bottom
"C85","100u","C_1210_3225Metric",94.525000,56.025000,0.000000,bottom
"C86","100u","C_1210_3225Metric",94.550000,62.725000,0.000000,bottom
"C87","100u","C_1210_3225Metric",94.525000,59.350000,0.000000,bottom
"C89","0.47u","C_0402_1005Metric",87.400000,80.420000,270.000000,bottom
"C90","0.47u","C_0402_1005Metric",96.515000,80.395000,270.000000,bottom
"C91","10n","C_0402_1005Metric",88.500001,83.480000,270.000000,bottom
"C92","10n","C_0402_1005Metric",87.500000,83.479999,270.000000,bottom
"C93","1u","C_0402_1005Metric",87.245000,86.555000,90.000000,bottom
"C94","10n","C_0402_1005Metric",88.400000,80.420000,270.000000,bottom
"C95","10n","C_0402_1005Metric",95.525000,80.385000,270.000000,bottom
"C97","10u","C_0805_2012Metric",98.300000,77.675000,270.000000,bottom
"C99","10u","C_0805_2012Metric",96.250000,77.675000,270.000000,bottom
"C101","100n","C_0402_1005Metric",98.815000,79.915000,0.000000,bottom
"C104","NC","C_0402_1005Metric",95.320000,87.800000,0.000000,bottom
"C109","NC","C_0402_1005Metric",84.610000,18.000000,180.000000,bottom
"C110","12p","C_0402_1005Metric",77.574411,25.584411,225.000000,bottom
"C111","12p","C_0402_1005Metric",80.574411,22.384411,225.000000,bottom
"C112","NC","C_0402_1005Metric",87.510000,18.020000,0.000000,bottom
"C113","12p","C_0402_1005Metric",70.585000,14.195000,90.000000,bottom
"C114","12p","C_0402_1005Metric",69.525000,17.475000,270.000000,bottom
"C115","4.7u","C_0805_2012Metric",81.866751,16.446751,225.000000,bottom
"C116","100n","C_0402_1005Metric",75.310589,25.564411,315.000000,bottom
"C117","100n","C_0402_1005Metric",70.025000,19.175000,315.000000,bottom
"C118","1u","C_0402_1005Metric",72.280589,23.339411,135.000000,bottom
"C119","220p","C_0402_1005Metric",72.570589,12.680589,225.000000,bottom
"C120","NC","C_0402_1005Metric",73.265589,11.985589,225.000000,bottom
"C121","100n","C_0402_1005Metric",76.580589,23.264411,135.000000,bottom
"C122","NC","C_1206_3216Metric",60.245000,79.525000,0.000000,bottom
"C123","4.7u","C_0805_2012Metric",58.400000,74.150000,90.000000,bottom
"C124","100n","C_0402_1005Metric",51.425000,75.105000,270.000000,bottom
"C125","10n","C_0402_1005Metric",95.985000,82.375000,0.000000,bottom
"C126","10n","C_0402_1005Metric",95.995000,83.355000,0.000000,bottom
"C127","220p","C_0402_1005Metric",67.860589,68.239411,315.000000,bottom
"C128","220p","C_0402_1005Metric",71.860000,13.370000,225.000000,bottom
"C_TUNE1_1","1u","C_0402_1005Metric",87.880000,76.900000,0.000000,bottom
"C_TUNE1_2","1u","C_0402_1005Metric",87.880000,77.900000,0.000000,bottom
"C_TUNE1_3","0.47u","C_0402_1005Metric",87.880000,78.900000,180.000000,bottom
"C_TUNE2_1","10n","C_0402_1005Metric",92.020000,78.100000,0.000000,bottom
"C_TUNE2_2","10n","C_0402_1005Metric",92.995000,77.100000,0.000000,bottom
"C_TUNE2_3","10n","C_0402_1005Metric",93.980000,78.100000,180.000000,bottom
"D16","DESD5V0U1BA-7","D_SOD-323",71.345000,50.125000,270.000000,bottom
"D17","DESD5V0U1BA-7","D_SOD-323",97.875000,54.845000,270.000000,bottom
"D18","DESD5V0U1BA-7","D_SOD-323",84.025000,23.675000,180.000000,bottom
"D19","DESD5V0U1BA-7","D_SOD-323",84.025000,27.775000,180.000000,bottom
"D20","DESD5V0U1BA-7","D_SOD-323",84.025000,25.775000,180.000000,bottom
"D21","DESD5V0U1BA-7","D_SOD-323",84.025000,29.775000,180.000000,bottom
"D22","DESD5V0U1BA-7","D_SOD-323",75.825000,37.675000,180.000000,bottom
"D23","DESD5V0U1BA-7","D_SOD-323",75.825000,41.875000,180.000000,bottom
"D24","DESD5V0U1BA-7","D_SOD-323",75.825000,39.775000,180.000000,bottom
"D25","DESD5V0U1BA-7","D_SOD-323",53.025000,75.450000,90.000000,bottom
"D26","DESD5V0U1BA-7","D_SOD-323",55.542462,69.642462,45.000000,bottom
"D27","DESD5V0U1BA-7","D_SOD-323",53.942462,71.242462,45.000000,bottom
"D28","DESD5V0U1BA-7","D_SOD-323",45.857538,71.242462,135.000000,bottom
"D29","DESD5V0U1BA-7","D_SOD-323",44.257538,69.642462,135.000000,bottom
"FB1","BLM21SP601SH1D","R_0805_2012Metric",89.750000,63.075000,0.000000,bottom
"IC3","BQ51050BRHLR","BQ51050BRHLR",92.000000,82.400000,0.000000,bottom
"IC4","SN74HCS00QPWRQ1","SOP65P640X120-14N",61.752140,59.162099,135.000000,bottom
"IC6","23K640-I_ST","SOP65P640X120-8N",60.745000,49.100000,270.000000,bottom
"J1","MEM2061-01-188-00-A","MEM20610118800A",41.975000,89.425000,0.000000,bottom
"J15","U.FL-R-SMT-1(10)","CONUFL001-SMD",86.555000,15.380000,0.000000,bottom
"L1","10u","L_0603_1608Metric",82.077944,63.822792,45.000000,bottom
"L2","15n","L_0402_1005Metric",80.777943,64.372792,225.000000,bottom
"L8","15n","L_0402_1005Metric",72.972947,24.035000,135.000000,bottom
"L9","10u","L_0603_1608Metric",73.963153,24.981847,315.000000,bottom
"Q1","DMG2305","SOT-23",61.300000,75.200000,270.000000,bottom
"R5","NC","R_0402_1005Metric",77.505000,11.805000,225.000000,bottom
"R10","5.1k","R_0402_1005Metric",70.774376,21.855624,315.000000,bottom
"R11","5.1k","R_0402_1005Metric",71.480000,22.550000,315.000000,bottom
